Subject,Doctor Name,WhatsApp Number,Instagram Handle,Last IG Post Date,Google Rating,Review Count,Pain Signal Quote,Website URL,Has WhatsApp Widget,Ghost Lead Result
Dr Pauls Dental Clinic LLC, Dubai, 04 3944444,Dr. Binoy Paul,,@drpaulsdentalclinicdxb,2025-11-24,4.8,394,Not found,https://www.drpaulsdentalclinic.com/,Yes,"Emergency number (+971 56 1219 894) is a mobile number, likely a direct line or WhatsApp enabled."
DRFK Turkish International Day Surgery Center LLC, Dubai, 058 8111111,Dr. Fatih Kırar,+971586954334,@turkishinternationaldaysurgery,2026-03-10,4.9,392,Not found,https://drfk.ae/,Yes,Direct line (mobile)
Ferdows Medical Center, Dubai, 056 4111111,Dr. Zohreh Ahrari,,@ferdows_medical_center,2026-03-21,4.9,359,Not found,https://ferdowsmedicalcenter.ae/,Yes,"The clinic provides a WhatsApp number (+971564164701) which is likely a mobile number, suggesting good responsiveness for inquiries via WhatsApp. Another landline number (+971 4 321 3330) is also provided."
German Dental & Neuromuscular Clinic, Dubai, 04 3755391,Dr. Abdolreza Nassouti,+971568004722,@germandentaluae,2026-03-17,4.8,354,"""Very Bad experience with the Clinic , after my first consultation i was waiting for another appointment in 2weeks, in my appointment day they call me to cancel and they said we cannot accommodate you today""",https://germandent.com/,Yes,"The phone number +971 56 800 4722 is a mobile number in the UAE, which likely supports WhatsApp. It is not a landline and there is no information about an IVR. A direct call would likely go to a mobile device or a direct line at the clinic."
Ghodousi Medical Center, Dubai, 04 2222222,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
Gulf Medical Centre, Dubai, 04 2626000,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
Hadiya Dental Center, Dubai, 04 2898888,Dr. Fathima Nooff,,@hadiya.dental.center,2024-07-29,4.8,304,Not found,https://www.hadiyacare.com,Yes,Cannot be determined without direct interaction
Hamly Medical Centre, Dubai, 04 3355555,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
Harmony Medical Center LLC, Dubai, 04 3944444,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
Helmi's Specialized Implantology and Dental Center, Dubai, 04 2666666,Dr. Helmi,+971558824402,@dr.helmii,Not found,4.8,106,Not found,Not found,Not found,"Landline, no IVR"
Hibah Shata Specialized Dental Clinic, Dubai, 04 2977777,Dr. Hibah Shata,+97142959790,@drhibahshatadentalclinic,Not found,5.0,8,Not found,https://5cbafbaf7119b.site123.me/,No,"Landline number, no information on IVR or direct line."
Hollywod Smile Clinic, Dubai, 04 4298228,Dr. Mohammad Alhussain,,@hollywoodsmiledxb,Not found,4.4,1153,"Had a good experience with the dentist. However, the receptionist 2 kabayans were not accomodating. Of course, it is normal to ask them about your inquiry. One lady kabayan just gave the EMIRATES ID in a very not respectable way and not … More",https://hollywoodsmiledc.com/,Yes,"Mobile number (+971 50 519 2516) found on website and Google Maps. It is a mobile number, suggesting a direct line."
